senator_name,file_path
Amason Jeffah Kingi — Senator ·,senators_images\Amason_Jeffah_Kingi_Senator.jpg
Murungi Kathuri — Senator ·,senators_images\Murungi_Kathuri_Senator.jpg
Aaron Kipkirui Cheruiyot — Senator ·,senators_images\Aaron_Kipkirui_Cheruiyot_Senator.jpg
Justice Stewart Madzayo — Senator ·,senators_images\Justice_Stewart_Madzayo_Senator.jpg
Mohamed Abass Sheikh — Senator ·,senators_images\Mohamed_Abass_Sheikh_Senator.jpg
Abdalla Shakilla Mohamed — Senator ·,senators_images\Abdalla_Shakilla_Mohamed_Senator.jpg
Munyi Alexander Mundigi — Senator ·,senators_images\Munyi_Alexander_Mundigi_Senator.jpg
Roba Ali Ibrahim — Senator ·,senators_images\Roba_Ali_Ibrahim_Senator.jpg
Okoiti Andrew Omtatah — Senator ·,senators_images\Okoiti_Andrew_Omtatah_Senator.jpg
Beatrice Akinyi Ogolla — Senator ·,senators_images\Beatrice_Akinyi_Ogolla_Senator.jpg
Beth Kalunda Syengo — Senator ·,senators_images\Beth_Kalunda_Syengo_Senator.jpg
Betty Batuli Montet — Senator ·,senators_images\Betty_Batuli_Montet_Senator.jpg
Boy Issa Juma — Senator ·,senators_images\Boy_Issa_Juma_Senator.jpg
Catherine Muyeka Mumma — Senator ·,senators_images\Catherine_Muyeka_Mumma_Senator.jpg
Chesang Allan Kiprotich — Senator ·,senators_images\Chesang_Allan_Kiprotich_Senator.jpg
Chimera Raphael Mwinzago — Senator ·,senators_images\Chimera_Raphael_Mwinzago_Senator.jpg
Chute Mohamed Said — Senator ·,senators_images\Chute_Mohamed_Said_Senator.jpg
Consolata Nabwire Wakwabubi — Senator ·,senators_images\Consolata_Nabwire_Wakwabubi_Senator.jpg
Crystal Asige — Senator ·,senators_images\Crystal_Asige_Senator.jpg
David Wakoli Wafula — Senator ·,senators_images\David_Wakoli_Wafula_Senator.jpg
Dullo Fatuma Adan — Senator ·,senators_images\Dullo_Fatuma_Adan_Senator.jpg
Wambua Enoch Kiio — Senator ·,senators_images\Wambua_Enoch_Kiio_Senator.jpg
Essy Okenyuri Nyaituga Anyieni — Senator ·,senators_images\Essy_Okenyuri_Nyaituga_Anyieni_Senator.jpg
George Mungai Mbugua — Senator ·,senators_images\George_Mungai_Mbugua_Senator.jpg
Haji Abdul Mohammed — Senator ·,senators_images\Haji_Abdul_Mohammed_Senator.jpg
Hamida Ali Kibwana — Senator ·,senators_images\Hamida_Ali_Kibwana_Senator.jpg
Hezena M. Lemaletian — Senator ·,senators_images\Hezena_M._Lemaletian_Senator.jpg
Hillary Kiprotich Sigei — Senator ·,senators_images\Hillary_Kiprotich_Sigei_Senator.jpg
Ekomwa James Lomenen — Senator ·,senators_images\Ekomwa_James_Lomenen_Senator.jpg
Nderitu John Kinyua — Senator ·,senators_images\Nderitu_John_Kinyua_Senator.jpg
Joyce Chepkoech Korir — Senator ·,senators_images\Joyce_Chepkoech_Korir_Senator.jpg
Kamau Joseph Githuku — Senator ·,senators_images\Kamau_Joseph_Githuku_Senator.jpg
Karungo Paul Thangwa — Senator ·,senators_images\Karungo_Paul_Thangwa_Senator.jpg
Keroche Tabitha Karanja — Senator ·,senators_images\Keroche_Tabitha_Karanja_Senator.jpg
Khalwale Boni — Senator ·,senators_images\Khalwale_Boni_Senator.jpg
Kiplagat Jackson Mandago — Senator ·,senators_images\Kiplagat_Jackson_Mandago_Senator.jpg
Olekina Ledama — Senator ·,senators_images\Olekina_Ledama_Senator.jpg
Maanzo Daniel Kitonga — Senator ·,senators_images\Maanzo_Daniel_Kitonga_Senator.jpg
Margaret Jepkoech Kamar — Senator ·,senators_images\Margaret_Jepkoech_Kamar_Senator.jpg
Methu John Muhia — Senator ·,senators_images\Methu_John_Muhia_Senator.jpg
Miraj Abdillahi Abdulrahman — Senator ·,senators_images\Miraj_Abdillahi_Abdulrahman_Senator.jpg
Mogeni Erick Okongo — Senator ·,senators_images\Mogeni_Erick_Okongo_Senator.jpg
Faki Mohamed Mwinyihaji — Senator ·,senators_images\Faki_Mohamed_Mwinyihaji_Senator.jpg
Moses Otieno Kajwang' — Senator ·,senators_images\Moses_Otieno_Kajwang_Senator.jpg
Mungatana Danson Buya — Senator ·,senators_images\Mungatana_Danson_Buya_Senator.jpg
Murango James Kamau — Senator ·,senators_images\Murango_James_Kamau_Senator.jpg
Muthama Agnes Kavindu Mbuku — Senator ·,senators_images\Muthama_Agnes_Kavindu_Mbuku_Senator.jpg
Tabitha Mutinda — Senator ·,senators_images\Tabitha_Mutinda_Senator.jpg
Mwaruma Johnes M — Senator ·,senators_images\Mwaruma_Johnes_M_Senator.jpg
Gataya Mo Fire — Senator ·,senators_images\Gataya_Mo_Fire_Senator.jpg
Joe Nyutu — Senator ·,senators_images\Joe_Nyutu_Senator.jpg
Nyamu Karen Njeri — Senator ·,senators_images\Nyamu_Karen_Njeri_Senator.jpg
Oginga Oburu — Senator ·,senators_images\Oginga_Oburu_Senator.jpg
Tom Odhiambo Ojienda — Senator ·,senators_images\Tom_Odhiambo_Ojienda_Senator.jpg
Oketch Eddy Gicheru — Senator ·,senators_images\Oketch_Eddy_Gicheru_Senator.jpg
Omar Mariam Sheikh — Senator ·,senators_images\Omar_Mariam_Sheikh_Senator.jpg
Onyonka Richard Momoima — Senator ·,senators_images\Onyonka_Richard_Momoima_Senator.jpg
Osotsi Godfrey Atieno — Senator ·,senators_images\Osotsi_Godfrey_Atieno_Senator.jpg
Pesi Peris Tobiko — Senator ·,senators_images\Pesi_Peris_Tobiko_Senator.jpg
Recha Julius Murgor — Senator ·,senators_images\Recha_Julius_Murgor_Senator.jpg
Cherarkey Samson K — Senator ·,senators_images\Cherarkey_Samson_K_Senator.jpg
Seki Lenku Ole Kanar — Senator ·,senators_images\Seki_Lenku_Ole_Kanar_Senator.jpg
Sifuna Edwin Watenya — Senator ·,senators_images\Sifuna_Edwin_Watenya_Senator.jpg
Lelegwe Steve Ltumbesi — Senator ·,senators_images\Lelegwe_Steve_Ltumbesi_Senator.jpg
Veronica Waheti Nduati — Senator ·,senators_images\Veronica_Waheti_Nduati_Senator.jpg
Kiprono Chemitei — Senator ·,senators_images\Kiprono_Chemitei_Senator.jpg
Wamatinga Wahome — Senator ·,senators_images\Wamatinga_Wahome_Senator.jpg
Kisang William Kipkemoi — Senator ·,senators_images\Kisang_William_Kipkemoi_Senator.jpg
